	ID по указалю	Wikidata	Комментарий из ПСС	geo																
Кондратьев Дмитрий	6790		В письме из Белгорода Курской губ. от 3 декабря 1908 г. воспитанник учительского института, сын крестьянина, Дмитрий Кондратьев, писал о том, что книги Толстого помогли ему выработать правильное, по его мнению, мировоззрение, и спрашивал, не на ложный ли путь он встал, избрав педагогическую деятельность, не сделается ли он благодаря этому паразитом того трудящегося народа, из которого он вышел. Не лучше ли вернуться к скромному труду своих отцов и, совершенствуясь, выводить окружащих из церковного заблуждения. На конверте помета Толстого: Прекрасн[ое] письмо. Отвечать.																	
Кондратьев Ефим Петрович	6791		2 июля 1906 г. крестьянин Новгородской губ. Ефим Петрович Кондратьев задавал Толстому религиозные вопросы.																	
Теодорина	13637		Нет сведений																	
Кондуев Алексей	6798		Нет сведений																	
Кондурушкин C. C.	6799		В письме от 14 апреля 1909 г. просил разрешить ему приехать в Ясную Поляну. На конверте Толстой пометил: Учтиво отказать.																	
Лао-Цзы (Лао-тзе)	7627	Q24446595																		
Яшвиль Лев Владимирович	16253	Q16723584																		
Алексеева Ксения Николаевна, рожд. Боратынская	271		Ксения Николаевна Боратынская (впоследствии по мужу Алексеева), родная внучка поэта Боратынского, учительница в земской школе Казанской губ., приезжала к Толстому, как она писала ему позднее (13 февраля 1908 г.), «для того, чтобы укрепиться и устоять против желанья выйти замуж и найти сил, чтобы итти по той дороге, которую я хотела выбрать». Но, возвратившись домой, она всё-таки вышла замуж. «Теперь я понимаю, — писала она, — что ничто извне не могло помочь мне, раз дом мой, должно быть, был построен на песке»																	
Алексеева Мария Васильевна	272		Мария Васильевна Алексеева [?], дочь В. И. Алексеева.																	
Алексеева Надежда Васильевна	273		Нет сведений																	
Алексеевка Тульской губ.	274			53.590620, 38.093302																
Алексеевка Самарской губ.	275			52.580285, 51.275200																
Алексеевское (Землянки) Самарской губ.	276	Q1763521																		
Алексеевское Тульской губ.	277			53.410770, 37.653541																
Алексеенков Степан Иванович	278		В письме от 11 ноября (почт. шт.) из Горловки рабочий-шахтер Алексеенков, на работе потерявший зрение, описывал свое тяжелое положение и просил дать совет, «как жить». Посл[ать] кн[иг] и спросить, чем м[огу] [помочь]. Кроме ответа, послана книга.																	
Алексей, епископ Можайский (Лавров-Платонов)	279		Алексей (Александр Федорович Лавров-Платонов, 1829—1890) — в 1878—1883 гг. епископ Можайский, до того — профессор Московской духовной академии.																	
Рыбаков Федор Ильич (псевдоним Юрий Пригорский)	12019		Федор Ильич Рыбаков (р. 1872), сельский учитель в Воронежской губ. Приезжал в январе 1893 г. в Бегичевку, в отсутствие Толстого, и остался там помогать П. И. Бирюкову в деле помощи голодающим. Под псевдонимом Юрия Пригорского напечатал «Воспоминания о Л. Н. Толстом» («Жизнь для всех», 1911, № 3—4) и «Памяти великого человека» («Воронежский телеграф», 1912, № 251 от 7 ноября). Письмо к Рыбакову от 23 мая см. в т. 66.																	
Рыбаков Ф., «Экспроприация и психоз»	12018		При письме от 30 ноября 1907 г. А. М. Хирьяков прислал две вырезки из московской газеты «Час» 1907 г.: статью Ф. Рыбакова «Экспроприации и психоз» (№ 41 от 9 ноября) и статью Дмитрия Дриля «Прискорбные явления современности» (№ 54 от 25 ноября). Он просил Толстого высказаться по поводу этих статей.																	
«Ручная книжка, для грамотного поселянина»	12015		Ручная книжка, для грамотного поселянина. Издана А. Заблоцким. в 16 д. л., 291 стр., без перес. 50 к.																	
Руфин A. A.	12014		Сибирский социал-демократ А. А. Руфин, знакомый В. Ф. Булгакова																	
Рыбаков Семен	12017		Семен Рыбаков (р. 1874), крестьянин д. Поповка Владимирской губернии. Рыбаков с благодарностью писал о влиянии на него сочинений Толстого, заметив при этом: «Конечно, вы можете, может быть, подумать, что все это писание легкомысленно или лицемерно». В письме от 23 ноября (почт. шт.) Рыбаков благодарил за «душевный» ответ и за книгу. На конверте пометка Толстого: Б[ез] о[твета]. Можно послать ч[то]-н[ибудь]. Пометки об отправке книг на конверте нет.																	
Рущук, крепость (Болгария)	12016	Q24489008																		
Рутцен А. А.	12011		Толстой пишет «Руцина» вместо Рутцен. О ней и работе ее, упоминаемой в письмах Толстого, мы имеем лишь неполные сведения, почерпнутые из сохранившихся в архиве «Посредника» (AЧ) писем ее к Черткову и оттисков, в копировальной книге «Посредника», с деловых писем к ней. Инициалы ее имени и отчества А. А., адрес — г. Фатеж Курской губ., в уезде которого находилось имение, где она жила с детьми, повидимому, уже взрослыми (она называет их «моя молодежь») зиму и лето. По соображениям Д. И. Шаховского, который лично знал члена I государственной думы Александра Николаевича Рутцена (род. 1858 г.), А. А. Рутцен была матерью его и двух его сестер, Варвары Николаевны и Людмилы Николаевны, выступавших впоследствии в печати. Переписка А. А. Рутцен с Чертковым началась еще в конце 1885 г., когда она выразила желание работать для «Посредника». Чертков предложил ей заняться переложением для народа Диккенса (см. комментарий к п. Толстого № 89 от конца ноября 1885 г.). Из письма А. А. Рутцен от 23 марта видно, что она со своей «молодежью» переложила для «Посредника» сказку Диккенса «Christmas Carol» (1844 г.), которая вышла в свет в изд. «Посредника» с некоторым запозданием под заглавием: «Рождественская сказка. Переделка с английского». М. 1887 г.																	
Руткевич Мария	12010		Руткевич, учительница Темрюкского женского училища, благодарила Толстого за его книги и рассказывала ему о своей личной жизни.																	
Рутышева Вера Христофоровна	12013		Рутышева написала комедию и просила позволения прислать ее Толстому. Отказать.																	
Рутченко Р.	12012		Р. Рутченко, живший в Таганроге. Друг Долнера.																	
Чужбинский Александр Степанович (Афанасьев-Чужбинский)	15369	Q4072674																		
Экс ле Бен (Aix les Bains, Швейцария)	15950	Q17173339																		
Элеонора (фокусница)	15953		Нет сведений																	
Петр Данилович, старец	10709		Петр Данилович, умер в 1893 г., Кобелев писал о нем Толстому в 1895 г. как о своем первом наставнике.																	
Петр Афонский	10708		Петр Афонский — монах, живший на Афоне в VIII в.																	
Найт Вильям-Ангус (Knight)	9528		Писатель. Книгой В. Найта (Knight) «The Phylosophy of the Beautiful» Толстой пользовался для статьи «Что такое искусство?».																	
Найт Ричард (Knight), «Analytical inquiry into the principles of taste»	9529		Писатель, автор книги «Аналитическое исследование принципов вкуса» («Analytical inquiri into the principles of taste»).																	
Морлей Г.	9258		Морлей Г., «Sermons preached before tne University of Oxford» («Проповеди, читанные при Оксфордском университете»). Назван как выдающимийся писатель по эстетике в Англии в начале столетия.																	
Морлей Джон (Morley)	9259	Q24476688																		
Морков (Марков) Аркадий Иванович	9256	Q25398589																		
Моркунов Андрей	9257		Крестьянин из села Потемкино.																	
Мориц (эстетик)	9254	Q24437405																		
Мориц Шарль	9255		Французский поэт-декадент																	
Мори Боне	9252	Q20817494																		
Морин	9253		Племянник Авдотьи Васильевны Поповой, экономки Толстых. Толстой просил у В.А. Лопухина помощи в деле Морина. О деле  сведений нет. В ответном письме от 29 декабря 1908 г., извиняясь за промедление. В. А. Лопухин сообщал, что Морин был освобожден.																	
Морзелли Е. А.	9250		Нет сведений																	
Мори Альфред, «Les dégénérescences de l’espèce humaine»	9251	Q24476567																		
Бестужева-Рюмина Мария Филипповна	1370		Мария Филипповна Бестужева-Рюмина, рожденная Левдик — жена Василия Николаевича Бестужева-Рюмин (1835—1910), племянника декабриста Михайла Павловича Бестужева-Рюмина, генерала-лейтенанта. В 1876—1889 гг. он был начальником оружейного завода в Туле. Бывал в Ясной поляне с женой Марией Филипповной и дочерью. — Брат его, Константин Николаевич Бестужев-Рюмин (1829—1897), русский историк, профессор Петербургского университета, с 1890 г. — академик. В 1878—1882 гг. заведовал высшими женскими курсами в Петербурге, которые обычно назывались «Бестужевскими».																	
Эллис G. A., «Жизнь миссионера отца Дамиана Вейстер»	15956		С. А. Эллис, автор книги «Жизнь миссионера отца Дамиана Вейстер». Толстой читал ее в июне 1892 г. и в письме к М. М. Ледерле назвал "полезной и прекрасной книгой".																	
Беляев Н.	1212		Н. Беляев, гимназист, в письме из Москвы от 2 октября спрашивал, в чем счастье. «Вы говорите, что счастье в исполнении учения Христа, но и это счастье я не понимаю». Б[ез] о[твета], гл[упое].																	
Бетанкур Августин Августович	1373	Q399485																		
Перевлесский Петр Миронович	10618	Q4350029																		
Головачева	3519		Может быть, жена тульского педагога Г. Ф. Головачева, с которым Толстой был знаком.																	
Головачев Григорий Филиппович	3518		Григорий Филиппович Головачев (1818—1880), преподаватель Тульской гимназии, сотрудник «Русского вестника» и редактор «Детского чтения».																	
Голлабрунн (Австрия)	3513	Q24411025																		
Голицыны	3512		Кн. Мянуил Васильевич Голицын и вторая его жена Екатерина Николаевна, рожд. Гордеева. Их сын, Николай Мануилович Голицын, был товарищем М. Л. Толстого по лицею.																	
Голицына Софья Николаевна	3511		Софья Николаевна Голицына, рожд. Делянова. Жена Владимира Михайловича Голицына (р. 1850 — ум. ?), московского губернатора.																	
Голицына Мария Федоровна	3510		Голицына кн. Мария Федоровна, рожд. Хворостинина (1651—1723) — жена Бориса Алексеевича Голицына. Голицын кн. Борис Алексеевич (1654—1714) — воспитатель Петра I, главный распорядитель во время свержения царевны Софии. За год до смерти постригся в монахи под именем Боголепа.																	
Головачёв Алексей Адрианович	3517	Q4141767																		
Головацкая	3516		Перечислена в списке получивших пожертвование в отчете с 3 декабря 1891 г. по 12 апреля 1892 г. Ей передано 200 р. для продовольствия.																	
Голованов Сергей Федорович	3515		Сергей Федорович Голованов, крестьянин.																	
Голландия	3514	Q55																		
Вовенарг де Клапье Люк	2688	Q24367378																		
Вогау Гуго Максимович	2689		Гуго Максимович Вогау — директор немецкой фирмы «Вогау и Кº. Московское акционерное общество для производства цемента и других строительных материалов и торговли ими». В июне она пожертвовала 200 р. в пользу голодающих. 27 июля та же фирма уведомила Толстого, что получила от лондонской фирмы Barclay Revan Banson and Cº 87 фунтов 1 шиллинг и 5 пенсов стерлингов под прилагаемые квитанции, которые просила подписать и передать московскому Торговому банку для учинения с ними расчета. Толстой расписку тогда не прислал, повидимому не получив уведомления, о чем справлялся видавшийся с Татьяной Львовной Дунаев, состоявший директором Торгового банка. 9 октября фирма Вогау и Кº повторила свое уведомление, вновь вложив квитанцию, которую Толстой, очевидно, и подписал, так как она не сохранилась при письме Вогау.																	
Влахопулов Алексей Константинович	2684		Алексей Константинович Влахопулов, житель Лохвицкого у. Полтавской губ., гласный земства, одно время заступавший место предводителя дворянства, народник по убеждению, с 1892 г. отошел от общественной деятельности, поселился в своей деревне и, «окончательно подпав под влияние народной души — неиссякаемого источника всякой правды», устроил там бесплатную библиотеку и земскую школу, приняв на себя обязанности народного учителя. Его религиозные взгляды совпадали с православием, но он считал, что недостойное духовенство потеряло «преемственную благодать». Влахопулова волновал вопрос о религиозном воспитании детей в школе; — может ли он, не внося лжи, умалчивать перед учениками, что таинство священства, «составляющее суть религиозной помощи для их родителей», «утрачено через личное недостоинство священствующих». Он писал Толстому 8 июня 1900 г.: «У Вас, граф Лев Николаевич, есть обширный школьный опыт. Вы придаете огромное значение религиозным вопросам и в жизни и в школе, и никто, может быть, не думал об этих вопросах так много и с таким смирением, как Вы, а потому я решился обратиться к Вам за указанием о том, как Вы лично ставили религиозное обучение в школе. Решение этого вопроса касается такой важной стороны школьной жизни, что этою его важностью до известной степени оправдывается моя смелость затруднять Вас просьбой почтить меня указаниями и советом. Кончаю письмо с волнением, понятным, когда обращаешься390 391по личному делу к человеку Вашего всемирного значения и почитания».																	
«Влияние Толстого в Японии», статья	2685		Статья на английском языке «Влияние Толстого в Японии» помещена в «Heimin Shimbun Sha» 14 августа н. с. 1904 г. В переводе на русский язык напечатана в «Свободном слове» 1905, 16, март — апрель, стлб. 3.																	
Влоцкий (или Влодский)	2686		Нет сведений																	
«Вниз по матушке по Волге», песня	2687		Старинная народная песня																	
Власов Савелий	2680		Нет сведений																	
Власов Семен	2681		Нет сведений																	
Власова М. М.	2682		Молодая девушка М. М. Власова спрашивала Толстого, можно ли ей выходить замуж за своего двоюродного брата.																	
Власовы	2683		Нет сведений																	
Фогель Карл	14624	Q24509987																		
Фойгт Карл Карлович	14625	Q24074242																		
Фойницкий Иван Яковлевич	14626	Q24510103																		
Фойстер Ч. H. (Foyster)	14627		Ч. Н. Фойстер обратился к Толстому с письмом из Лондона от 9 сентября н. ст. 1894 г., в котором писал, что прочитанная им в газете «Daily Chronicle» статья Толстого «Христианство и патриотизм» вызвала в нем «настоящий энтузиазм», и он старается следовать выраженным в ней мыслям, но не понимает только того, как можно обойтись без правительства, и потому просит Толстого объяснить ему этот пункт своего учения.																	
Флоуер Б. О. (Flower)	14620		Б. О. Флоуер писал Толстому в письме от 10/12 октября, что выслал Толстому несколько номеров своего журнала, и просил разрешения напечатать за соответствующий гонорар предисловие Толстого к переводу Мопассана. Ответила Т. Л. Толстая на основании пометы Толстого: Ответь, что платы не берет и что журнал не получен.																	
Флюгель Морис	14621		Морис Флюгель (Maurice Fluegel) — американский исследователь религий. В 1905 г. жил в г. Балтиморе (США). В «Круге чтения» и в статье «Одумайтесь!» Толстой привел большой отрывок из сочинений Флюгеля о религии. Ответ на три письма Флюгеля: от 22 декабря н. с. 1904 г., 24 марта и 15 мая н. с. 1905 г. В первом письме Флюгель писал, что посылает Толстому в подарок свою книгу «Spirit of the biblical Legislation» и проспекты своих сочинений; просил Толстого посодействовать распространению в России его произведений путем пересылки его проспекта книготорговцам. Во втором и третьем письмах Флюгель спрашивал, получил ли Толстой его книгу и письма. Книга Флюгеля имеется в яснополянской библиотеке: Maurice Fluegel, «Spirit of the biblical Legislation in parallel with Talmud, Casuists, New Testament, Ancient and Moderne Law. Especially the Social and Political Institutions», Baltimore, 1893.																	
Фогаццаро Антонио	14622	Q24509967																		
Фогель Густав Львович	14623	Q47545059																		
Фок Александр Александрович	14628	Q15063252																		
Фока Демидович	14629		Дворецкий у Толстых																	
Агафонова Т.	99		Т. Агафонова, больная чахоткой, описывая свое тяжелое материальное положение, просила «милостивого содействия» у Толстого в письме. 																	
Агафонова Екатерина	98		Женщина, чьего мужа убили. Толстой хотел поговорить с Б. О. Гольденблатом о получении ею пособия.																	
Австрия	91	Q176495																		
Австралия	90	Q408																		
Агабалов	93		Вероятно, армянин-лавочник в Старогладковской. Лавка была на площади в центре станицы, где был также дом коменданта и православная церковь.																	
Автуры, чеченский аул	92	Q791816																		
Агафон, архимандрит	95		Архимандриту Агафону. Декабря 18? Ответ на его письмо от 9 декабря (из Пермской губ.), на котором записан продиктованный Толстым конспект ответа: «Слаб, прочел письмо с удов[ольствием], согласен с ним и смерти никогда не желаю, а говорю: да будет воля твоя, и не то, что я хочу, а что ты хо[чешь], и не так, как я хочу, а как ты хочешь. Благодарить за добрые чувства»																	
Агаенков В.	94		Ученик Уральского горного училища в Екатеринбурге																	
Агафонов М. Г.	97		Агафонов, заключенный в саратовском исправительном арестантском отделении, просил денежной помощи. Не отвечаю, п[отому] ч[то] денег не имею, и помочь не могу, о чем сожалею.																	
Агафонов Иван Герасимович	96		Толстой получил письмо от крестьянина Ивана Герасимовича Агафонова от 6 июня из Саратовской тюрьмы, который, рассказывая о своем деле, дает «честное слово арестанта не пить этой проклятой водки» и просит Толстого прислать письменное назидание для жизни.																	
Флеров Федор Григорьевич	14607		Федор Григорьевич Флеров — московский врач.																	
Спасское Московской губ.	13058	Q4414620																		
Спасское Тифлисской губ.	13059		Нет сведений																	
Спасович В. Д., «Дружба Шиллера и Гете»	13052		Автор статьи «Дружба Шиллера и Гете»																	
Спасская Софья Валентиновна	13053		В конце марта в столичных газетах появилось сообщение, что Толстой закончил новую большую повесть «Отец Сергий» и что произведение при жизни Толстого напечатано не будет. В некоторых заметках говорилось о сходстве темы с рассказами Леонида Андреева и Арцыбашева. По поводу газетных сообщений Толстой получил укоряющее письмо от Софии Валентиновны Спасской из Москвы от 31 марта 1908 г. (почт. шт.). Письмо осталось без ответа.																	
Спандау (Пруссия)	13050	Q569827																		
Спарта	13051	Q992450																		
Спасский Владимир Ефимович	13056		Владимир Ефимович Спасский - судебный следователь Крапивенского уезда, явившийся в Ясную Поляну с заданием снять свидетельские показания с Толстого (ехавшего в поезде в ночь с 12 на 13 апреля через Тулу в Бегичевку) против солдат, подозревавшихся в краже. Следствие надеялось, что Толстой, как бывший военный, заметил, были ли среди этих солдат унтер-офицеры, что по ходу дела могло бы помочь в розыске вора. Толстой оставил вопросы без ответа.																	
Спасский Евграф, Кириллович	13057		Губернский секретарь																	
Спасский	13054		С. Н. Толстой писал: «Вера ездила по болезни в Тулу и в вагоне слышала, как кто-то читал вслух книгу священника Петрова, в которой он говорит, что церковь должна обращаться к народу не медными языками, а живыми... Около нас теперь два священника: один царевский, тот самый, который, когда ты был в Пирогове во время принесения чудотворной иконы божией матери и говорил с царевской попадьей, стоял около вас в студентском мундире, ее сын, и другой, спасский. Царевский спрашивал недавно у крестьян, скоро ли они устроят здесь «полтавку», а Спасский, бывши с крестом в Дубках, у Маши, при ней говорил, что тот, кто убил Сипягина, сделал святое дело».																	
Спасский Василий Федорович	13055		Писец 2 разряда																	
Чох, аул	15360	Q24513789																		
Бетлер П.	1376		30 марта писал письмо с просьбой разрешить перевод на латышский язык сочинений Толстого.																	
Черное море	15249	Q19235589																		
Саведж Д.	12109		Саведж Д. (Savage D.) — американский писатель.																	
Симон Елизавета Антоновна	12643		Мать Симона. Федор Павлович Симон — студент Лесного института, поселившийся летом 1886 г. со своей женой и ребенком в Ясной поляне. Вступив в общение с Толстым, Симон подпал под влияние его взглядов и сделался на некоторое время горячим сторонником идей Толстого. 																	
Холлистер Алонзо	14964		Алонзо Холлистер (Alonzo Hollister, p. 1830) — американец, шекер.																	
Чугунов Дмитрий Кузьмич	15366		Нет сведений																	
Белов М. H.	1177		В письме от 22 июня (почт. шт.) крестьянин М. Н. Белов прислал на отзыв свои стихи. Л. Н. не нравятся ваши стихи.																	
Белов Иван Федорович	1176		Иван Федорович Белов (Оренбург) в письме от 18 января 1908 г. прислал на отзыв рукописи своих сочинений: «Золотой бог» и «Работа невидимого». В ответ на комментируемое письмо Толстого Белов послал другие свои статьи: «Загадочная улыбка сфинкса» и «Первый луч сознания». Он писал 13 февраля 1908 г. (почт. шт.): «Ваш приговор на смерть моего писательства я спокойно прочел, но то чувство, что переживает каждый человек, навечно осужденный в каторгу, полностью вошло и в мое сердце». Просил «принять на суд» новые его произведения. На конверте помета Толстого: Ответить, что сожа[лею], но повтор[яю] то [же].																	
Белов В.	1175		20 ноября 1906 г. В. Белов посылал Толстому план и проект «Дома размышления», особого здания, где помещалась бы обширная библиотека книг на религиозные темы. На конверте письма адресата помета Толстого: Б[ез] о[твета]. Ответить.																	
Белов, «Обращение с особами прекрасного пола, или Искусство быть оным привлекательным»	1174		Белов «Обращение с особами прекрасного пола, или искусство быть оным привлекательными». В типографии Серкина 1863 г. 																	
Белов	1173		В письме от 15 ноября из Николаева Херсонской губ. Белов просил указать, кому можно продать имеющийся у него старинный перстень. Ответить, что не знаю.																	
Белобородова Софья Ивановна	1172		Жена тульского нотариуса Я. Ф. Белобородова, ведшего в 1892 г. дела по разделу имущества Л. Н. Толстого. Библиотека С. И. Белобородовой находилась на Киевской улице.																	
Белобородова Нина	1171		В письме от 15 декабря (почт. шт.) из г. Краснослободска Пензенской губ. Белобородова под впечатлением смерти отца спрашивала о бессмертии души и о смерти. Л. Н. посылает вам Н[а] К[аждый] Д[ень], в к[отором] в № 29 узнаете о том, ч[то] он думает о том, что ожидает чел[овека] пос[ле] смерти, и в № 2 о том, что такое, по его понятию, на[ше] «я».																	
